timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618124461365,4425,HTTP Request,200,OK,Thread Group 1-3,text,true,,163667,252,20,20,https://searchcode.com/?q=test,651,0,325
1618124461365,651,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,408,126,20,20,http://searchcode.com/?q=test,651,0,325
1618124462017,3773,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,163259,126,20,20,https://searchcode.com/?q=test,1465,0,910
1618124461259,4762,HTTP Request,200,OK,Thread Group 1-1,text,true,,163667,252,19,19,https://searchcode.com/?q=test,632,0,318
1618124461259,632,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,408,126,19,19,http://searchcode.com/?q=test,632,0,318
1618124461891,4130,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,163259,126,19,19,https://searchcode.com/?q=test,1604,0,948
1618124461908,4115,HTTP Request,200,OK,Thread Group 1-14,text,true,,163667,252,18,18,https://searchcode.com/?q=test,597,0,297
1618124461908,597,HTTP Request-0,301,Moved Permanently,Thread Group 1-14,text,true,,408,126,18,18,http://searchcode.com/?q=test,597,0,297
1618124462506,3517,HTTP Request-1,200,OK,Thread Group 1-14,text,true,,163259,126,18,18,https://searchcode.com/?q=test,1423,0,870
1618124461411,4736,HTTP Request,200,OK,Thread Group 1-4,text,true,,163667,252,17,17,https://searchcode.com/?q=test,588,0,292
1618124461411,588,HTTP Request-0,301,Moved Permanently,Thread Group 1-4,text,true,,408,126,17,17,http://searchcode.com/?q=test,588,0,292
1618124461999,4148,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,163259,126,17,17,https://searchcode.com/?q=test,1600,0,990
1618124461858,4311,HTTP Request,200,OK,Thread Group 1-13,text,true,,163667,252,16,16,https://searchcode.com/?q=test,611,0,305
1618124461858,611,HTTP Request-0,301,Moved Permanently,Thread Group 1-13,text,true,,408,126,16,16,http://searchcode.com/?q=test,611,0,305
1618124462469,3700,HTTP Request-1,200,OK,Thread Group 1-13,text,true,,163259,126,16,16,https://searchcode.com/?q=test,1440,0,883
1618124461473,4743,HTTP Request,200,OK,Thread Group 1-5,text,true,,163667,252,15,15,https://searchcode.com/?q=test,588,0,293
1618124461473,588,HTTP Request-0,301,Moved Permanently,Thread Group 1-5,text,true,,408,126,15,15,http://searchcode.com/?q=test,588,0,293
1618124462061,4155,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,163259,126,15,15,https://searchcode.com/?q=test,1593,0,982
1618124461614,4679,HTTP Request,200,OK,Thread Group 1-8,text,true,,163667,252,14,14,https://searchcode.com/?q=test,616,0,305
1618124461614,616,HTTP Request-0,301,Moved Permanently,Thread Group 1-8,text,true,,408,126,14,14,http://searchcode.com/?q=test,616,0,305
1618124462230,4063,HTTP Request-1,200,OK,Thread Group 1-8,text,true,,163259,126,14,14,https://searchcode.com/?q=test,1580,0,950
1618124461566,4741,HTTP Request,200,OK,Thread Group 1-7,text,true,,163667,252,13,13,https://searchcode.com/?q=test,669,0,331
1618124461566,669,HTTP Request-0,301,Moved Permanently,Thread Group 1-7,text,true,,408,126,13,13,http://searchcode.com/?q=test,669,0,331
1618124462235,4072,HTTP Request-1,200,OK,Thread Group 1-7,text,true,,163259,126,13,13,https://searchcode.com/?q=test,1711,0,1021
1618124461317,5045,HTTP Request,200,OK,Thread Group 1-2,text,true,,163667,252,12,12,https://searchcode.com/?q=test,625,0,312
1618124461317,625,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,text,true,,408,126,12,12,http://searchcode.com/?q=test,625,0,312
1618124461943,4419,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,163259,126,12,12,https://searchcode.com/?q=test,1698,0,1025
1618124461520,4846,HTTP Request,200,OK,Thread Group 1-6,text,true,,163667,252,11,11,https://searchcode.com/?q=test,650,0,347
1618124461520,650,HTTP Request-0,301,Moved Permanently,Thread Group 1-6,text,true,,408,126,11,11,http://searchcode.com/?q=test,650,0,347
1618124462171,4195,HTTP Request-1,200,OK,Thread Group 1-6,text,true,,163259,126,11,11,https://searchcode.com/?q=test,1588,0,975
1618124461721,4696,HTTP Request,200,OK,Thread Group 1-10,text,true,,163667,252,10,10,https://searchcode.com/?q=test,593,0,294
1618124461721,593,HTTP Request-0,301,Moved Permanently,Thread Group 1-10,text,true,,408,126,10,10,http://searchcode.com/?q=test,593,0,294
1618124462315,4102,HTTP Request-1,200,OK,Thread Group 1-10,text,true,,163259,126,10,10,https://searchcode.com/?q=test,1594,0,955
1618124461660,4847,HTTP Request,200,OK,Thread Group 1-9,text,true,,163667,252,9,9,https://searchcode.com/?q=test,652,0,322
1618124461660,652,HTTP Request-0,301,Moved Permanently,Thread Group 1-9,text,true,,408,126,9,9,http://searchcode.com/?q=test,652,0,322
1618124462312,4195,HTTP Request-1,200,OK,Thread Group 1-9,text,true,,163259,126,9,9,https://searchcode.com/?q=test,1574,0,970
1618124462208,4432,HTTP Request,200,OK,Thread Group 1-20,text,true,,163667,252,8,8,https://searchcode.com/?q=test,608,0,305
1618124462208,608,HTTP Request-0,301,Moved Permanently,Thread Group 1-20,text,true,,408,126,8,8,http://searchcode.com/?q=test,608,0,305
1618124462817,3823,HTTP Request-1,200,OK,Thread Group 1-20,text,true,,163259,126,8,8,https://searchcode.com/?q=test,1408,0,845
1618124462008,4653,HTTP Request,200,OK,Thread Group 1-16,text,true,,163667,252,7,7,https://searchcode.com/?q=test,667,0,335
1618124462008,667,HTTP Request-0,301,Moved Permanently,Thread Group 1-16,text,true,,408,126,7,7,http://searchcode.com/?q=test,667,0,335
1618124462675,3986,HTTP Request-1,200,OK,Thread Group 1-16,text,true,,163259,126,7,7,https://searchcode.com/?q=test,1477,0,893
1618124462158,4529,HTTP Request,200,OK,Thread Group 1-19,text,true,,163667,252,6,6,https://searchcode.com/?q=test,608,0,300
1618124462158,608,HTTP Request-0,301,Moved Permanently,Thread Group 1-19,text,true,,408,126,6,6,http://searchcode.com/?q=test,608,0,300
1618124462766,3921,HTTP Request-1,200,OK,Thread Group 1-19,text,true,,163259,126,6,6,https://searchcode.com/?q=test,1550,0,907
1618124461808,4905,HTTP Request,200,OK,Thread Group 1-12,text,true,,163667,252,5,5,https://searchcode.com/?q=test,649,0,322
1618124461808,649,HTTP Request-0,301,Moved Permanently,Thread Group 1-12,text,true,,408,126,5,5,http://searchcode.com/?q=test,649,0,322
1618124462457,4256,HTTP Request-1,200,OK,Thread Group 1-12,text,true,,163259,126,5,5,https://searchcode.com/?q=test,1604,0,993
1618124462108,4611,HTTP Request,200,OK,Thread Group 1-18,text,true,,163667,252,4,4,https://searchcode.com/?q=test,669,0,333
1618124462108,669,HTTP Request-0,301,Moved Permanently,Thread Group 1-18,text,true,,408,126,4,4,http://searchcode.com/?q=test,669,0,333
1618124462780,3939,HTTP Request-1,200,OK,Thread Group 1-18,text,true,,163259,126,4,4,https://searchcode.com/?q=test,1690,0,994
1618124461768,5008,HTTP Request,200,OK,Thread Group 1-11,text,true,,163667,252,3,3,https://searchcode.com/?q=test,685,0,341
1618124461768,685,HTTP Request-0,301,Moved Permanently,Thread Group 1-11,text,true,,408,126,3,3,http://searchcode.com/?q=test,685,0,341
1618124462453,4323,HTTP Request-1,200,OK,Thread Group 1-11,text,true,,163259,126,3,3,https://searchcode.com/?q=test,1727,0,1039
1618124461958,4895,HTTP Request,200,OK,Thread Group 1-15,text,true,,163667,252,2,2,https://searchcode.com/?q=test,621,0,310
1618124461958,621,HTTP Request-0,301,Moved Permanently,Thread Group 1-15,text,true,,408,126,2,2,http://searchcode.com/?q=test,621,0,310
1618124462580,4273,HTTP Request-1,200,OK,Thread Group 1-15,text,true,,163259,126,2,2,https://searchcode.com/?q=test,1680,0,983
1618124462058,4982,HTTP Request,200,OK,Thread Group 1-17,text,true,,163667,252,1,1,https://searchcode.com/?q=test,639,0,321
1618124462058,639,HTTP Request-0,301,Moved Permanently,Thread Group 1-17,text,true,,408,126,1,1,http://searchcode.com/?q=test,639,0,321
1618124462697,4343,HTTP Request-1,200,OK,Thread Group 1-17,text,true,,163259,126,1,1,https://searchcode.com/?q=test,1605,0,966
